Section,Report Title,URL,Display Order
FY 2019-2022 Four Year Financial Plan Information - Mayor's Recommended,FY 2019 - 2022 Mayor's Recommended Four-Year Financial Plan - Section A - Overview,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202019-2022%20Four%20Year%20Financial%20Plan%20Section%20A%20Overview%20-%20Mayor.pdf,11
FY 2019-2022 Four Year Financial Plan Information - Mayor's Recommended,FY 2019 - 2022 Mayor's Recommended Four-Year Financial Plan - Section B - Departments,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202019-2022%20Four%20Year%20Financial%20Plan%20Section%20B%20-%20Agency%20Descriptions%20-%20Mayor.pdf,12
FY 2019-2022 Four Year Financial Plan Information - Mayor's Recommended,FY 2019 - 2022 Mayor's Recommended Four-Year Financial Plan - Section C - Legal Budget,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202019-2022%20Four%20Year%20Financial%20Plan%20Section%20C%20Legal%20Budget%20-%20Mayor.pdf,13
FY 2018-2021 Four Year Financial Plan Information - Approved,FY 2018 - 2021 Approved Four-Year Financial Plan - Certification,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202018-2021%20City%20of%20Detroit%20Recommended%20Four%20Year%20Financial%20Plan%20-%20Certification%20Letter.pdf,14
FY 2018-2021 Four Year Financial Plan Information - Approved,FY 2018 - 2021 Approved Four-Year Financial Plan - Section A - Overview,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Section%20A%20Overview.pdf,15
FY 2018-2021 Four Year Financial Plan Information - Approved,FY 2018 - 2021 Approved Four-Year Financial Plan - Section B - Departments,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202018-2021%20City%20Council%20Four%20Year%20Financial%20Plan%20Section%20B%20Agency%20Descriptions.pdf,16
FY 2018-2021 Four Year Financial Plan Information - Approved,FY 2018 - 2021 Approved Four-Year Financial Plan - Section C - Legal Budget,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202018-2021%20City%20Council%20Four%20Year%20Financial%20Plan%20Section%20C%20Legal%20Budget_1.pdf,17
FY 2017-2020 Four Year Financial Plan Information - Approved,FY 2017 - 2020 Approved Four-Year Financial Plan - Certification,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202017-2020%20Four%20Year%20Plan%20-%20Certification%20Letter.pdf,18
FY 2017-2020 Four Year Financial Plan Information - Approved,FY 2017 - 2020 Approved Four-Year Financial Plan - Section A - Overview,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202017-2020%20Four%20Year%20Plan%20-%20REVISED%20Section%20A%20-%20Overview.pdf,19
FY 2017-2020 Four Year Financial Plan Information - Approved,FY 2017 - 2020 Approved Four-Year Financial Plan - Section B - Departments,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202017-2020%20Four%20Year%20Plan%20-%20Section%20B%20-%20Departments.pdf,20
FY 2017-2020 Four Year Financial Plan Information - Approved,FY 2017 - 2020 Approved Four-Year Financial Plan - Section C - Legal Budget,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY%202017-2020%20Four%20Year%20Plan%20-%20Section%20C%20-%20Legal%20Budget.pdf,21
FY 2016-2019 Four Year Financial Plan Information - Approved,FY 2016 - 2019 Approved Four-Year Financial Plan,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Four%20Year%20Financial%20Plan%202016-19_corrected%20copy_2.pdf,22
Budget in Brief,2018 - 2019 Budget in Brief,https://detroitmi.gov/document/2018-2019-budget-brief,23
Budget in Brief,FY 2018 Budget in Brief,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Budget%20in%20Brief%20Revised%20-%20FY18%20-%2004%2010%2018.pdf,24
Budget in Brief,FY 2017 Budget in Brief,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Budget%20in%20Brief%20Final%20-%2010%2025%2016_1.pdf,25
Revenue Estimating Conference Reports,February 2019 Revenue Estimating Conference Report,https://detroitmi.gov/document/february-2019-revenue-estimating-conference-report,26
Revenue Estimating Conference Reports,February 2019 Revenue Estimating Conference Meeting Slides,https://detroitmi.gov/document/february-2019-revenue-estimating-conference-meeting-slides,27
Revenue Estimating Conference Reports,February 2019 Revenue Estimating Conference Meeting Minutes (proposed),https://detroitmi.gov/document/february-2019-revenue-estimating-conference-meeting-minutes-proposed,28
Revenue Estimating Conference Reports,September 2018 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Sept%202018%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,29
Revenue Estimating Conference Reports,September 2018 Revenue Estimating Conference Meeting Minutes,https://detroitmi.gov/document/september-2018-revenue-estimating-conference-meeting-minutes,30
Revenue Estimating Conference Reports,February 2018 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Feb%202018%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,31
Revenue Estimating Conference Reports,February 2018 Revenue Estimating Conference Meeting Minutes,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Feb%202018%20Detroit%20REC%20Minutes%20APPROVED.pdf,32
Revenue Estimating Conference Reports,September 2017 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Sept%202017%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,33
Revenue Estimating Conference Reports,February 2017 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Feb%202017%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,34
Revenue Estimating Conference Reports,September 2016 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Sept%202016%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,35
Revenue Estimating Conference Reports,February 2016 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Feb%202016%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,36
Revenue Estimating Conference Reports,September 2015 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Sept%202015%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,37
Revenue Estimating Conference Reports,February 2015 Revenue Estimating Conference Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Feb%202015%20Revenue%20Estimating%20Conference%20Report%20FINAL.pdf,38
Comprehensive Annual Financial Report (CAFR),FY 2018 CAFR,https://detroitmi.gov/document/city-detroit-2018-comprehensive-annual-financial-report,39
Comprehensive Annual Financial Report (CAFR),FY 2017 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20FY17%20CAFR%20FINAL%20WEB.pdf,40
Comprehensive Annual Financial Report (CAFR),FY 2016 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY16%20City%20of%20Detroit%20CAFR.pdf,41
Comprehensive Annual Financial Report (CAFR),FY 2015 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%202015%20CAFR%20%20Updated%20Print%20Version%206-24-2016_2.pdf,42
